x,y
8.3829,11.886
5.7292,0.4795
5.0546,3.8166
5.2524,-1.22
5.0594,2.8214
11.708,5.3854
22.203,24.147
18.945,22.638
5.4069,0.5566
6.3261,5.1875
5.6397,4.6042
6.1101,17.592
5.5416,1.0179
7.0708,5.3893
8.2111,6.5426
5.5649,3.0825
10.957,7.0467
8.0959,4.1164
8.4084,7.2258
6.5159,5.3436
6.4296,3.6518
5.8707,7.2029
5.6407,0.7162
9.7687,7.5435
13.394,9.0551
5.5277,9.1302
5.8918,1.8495
18.959,17.054
7.5386,3.8845
5.4994,1.0173
7.9334,4.5623
6.3589,-1.4211
5.7077,1.8451
5.1884,0.2042
10.136,6.6799
5.7107,3.2522
7.5402,6.7504
6.8825,3.9115
5.1793,-0.7428
6.0062,1.2784
7.8247,6.7318
7.6366,4.2959
6.3654,5.3048
5.8014,1.844
12.828,13.501
7.2259,3.3411
5.7737,2.4406
5.6063,3.3928
10.236,7.7754
7.2182,4.8852
6.5894,5.9966
6.002,0.927
6.3328,1.4233
20.341,20.992
5.1301,0.5608
9.1802,6.7981
6.3534,5.4974
9.4536,5.4141
5.5204,0.152
6.3557,0.6786
5.3794,3.5129
5.8598,6.8233
5.0269,-2.6807
14.164,15.505
8.5172,4.2415
7.6031,4.9981
5.3054,1.9869
8.5186,13.662
5.734,3.1551
9.3102,3.9624
5.4369,0.6171
10.274,6.7526
21.279,17.929
7.3345,4.0259
20.27,21.767
6.4862,6.5987
9.2482,12.134
